lad_code,lad_name,imd_avg_score,imd_avg_rank,imd_pct_most_deprived,imd_extent,health_avg_score,health_pct_most_deprived
E07000103,Watford,16.254,14446.32,0.0,0.0493,-0.411,0.0
E07000105,Ashford,19.717,16881.1,0.037,0.1192,-0.247,0.0
E07000106,Canterbury,19.219,15870.85,0.0435,0.1584,-0.189,0.0217
E07000107,Dartford,17.375,15079.12,0.0149,0.0735,-0.146,0.0
E07000108,Dover,24.869,20097.95,0.1159,0.2245,0.064,0.029
E07000109,Gravesham,23.624,19077.72,0.0923,0.2248,0.046,0.0154
E07000110,Maidstone,18.093,15572.46,0.0303,0.0891,-0.335,0.0202
E07000111,Sevenoaks,14.37,12546.49,0.0133,0.0467,-0.769,0.0
E07000112,Folkestone and Hythe,25.193,20407.28,0.0746,0.2282,0.263,0.0448
E07000113,Swale,26.683,20715.83,0.1444,0.2469,0.183,0.0667
E07000114,Thanet,32.017,22856.68,0.186,0.3675,0.449,0.1163
E07000115,Tonbridge and Malling,13.023,11244.09,0.0,0.0345,-0.617,0.0
E07000116,Tunbridge Wells,13.894,12282.24,0.0,0.0254,-0.577,0.0
E07000117,Burnley,38.681,25410.62,0.4,0.5568,0.977,0.4
E07000118,Chorley,16.381,13355.99,0.0429,0.1217,0.17,0.0857
E07000119,Fylde,15.712,13580.56,0.0392,0.0518,0.086,0.0392
E07000120,Hyndburn,35.43,24251.07,0.3208,0.5066,0.899,0.3962
E07000121,Lancaster,22.408,16770.21,0.1136,0.2092,0.298,0.2045
E07000122,Pendle,35.285,24347.02,0.3509,0.4782,0.483,0.1579
E07000123,Preston,28.762,20849.23,0.1724,0.4139,0.759,0.3103
E07000124,Ribble Valley,9.997,8521.67,0.0,0.0012,-0.738,0.0
E07000125,Rossendale,25.988,20705.63,0.093,0.3027,0.432,0.1395
E07000126,South Ribble,14.136,11514.27,0.0286,0.0854,-0.063,0.0286
E07000127,West Lancashire,18.265,14339.88,0.0548,0.155,0.076,0.0959
E07000128,Wyre,20.864,15841.7,0.1304,0.1474,0.425,0.1739
E07000129,Blaby,10.5,9191.26,0.0,0.0,-0.637,0.0
E07000130,Charnwood,13.272,11308.29,0.0196,0.0429,-0.325,0.0098
E07000131,Harborough,9.224,7859.43,0.0,0.0,-0.887,0.0
E07000132,Hinckley and Bosworth,13.703,12057.39,0.0,0.024,-0.293,0.0
E07000133,Melton,14.866,13123.92,0.0,0.0465,-0.475,0.0
E07000134,North West Leicestershire,15.307,13269.84,0.0167,0.0487,-0.184,0.0167
E07000135,Oadby and Wigston,13.428,11425.7,0.0,0.0463,-0.33,0.0
E07000136,Boston,28.459,22656.79,0.1282,0.3182,0.215,0.0
E07000137,East Lindsey,30.392,23262.04,0.1463,0.3341,0.596,0.2073
E07000138,Lincoln,28.872,21464.76,0.2,0.3416,0.667,0.25
E07000139,North Kesteven,13.168,11620.74,0.0,0.0232,-0.4,0.0
E07000140,South Holland,20.984,18826.66,0.0196,0.0747,-0.122,0.0
E07000141,South Kesteven,15.161,12928.87,0.0357,0.0495,-0.417,0.0119
E07000142,West Lindsey,21.492,17009.94,0.1132,0.1705,-0.049,0.0755
E07000143,Breckland,20.374,18092.91,0.0125,0.089,-0.226,0.0
E07000144,Broadland,12.222,11003.96,0.0,0.0,-0.606,0.0
E07000145,Great Yarmouth,34.228,23697.24,0.25,0.3725,0.539,0.2
E07000146,King's Lynn and West Norfolk,24.054,20364.86,0.0543,0.1674,0.304,0.0652
E07000147,North Norfolk,21.114,19348.27,0.0,0.0386,-0.079,0.0
E07000148,Norwich,26.262,20585.2,0.1176,0.3126,0.394,0.1412
E07000149,South Norfolk,13.115,11946.35,0.0,0.0,-0.639,0.0
E07000170,Ashfield,25.568,20205.43,0.1169,0.2563,0.545,0.1818
E07000171,Bassetlaw,22.54,18287.97,0.0725,0.1992,0.154,0.087
E07000172,Broxtowe,13.752,11483.72,0.0,0.0637,-0.186,0.0
E07000173,Gedling,14.485,12368.1,0.013,0.0501,-0.221,0.013
E07000174,Mansfield,26.909,20108.67,0.1324,0.3164,0.608,0.1618
E07000175,Newark and Sherwood,19.056,15815.79,0.0405,0.1399,0.068,0.0541
E07000176,Rushcliffe,7.838,6207.46,0.0,0.0026,-0.997,0.0
E07000177,Cherwell,12.624,10900.53,0.0,0.0304,-0.732,0.0
E07000178,Oxford,14.423,12110.23,0.0238,0.076,-0.697,0.0
E07000179,South Oxfordshire,8.546,7046.39,0.0,0.0,-1.238,0.0
E07000180,Vale of White Horse,9.472,8049.8,0.0,0.0062,-1.043,0.0
E07000181,West Oxfordshire,10.148,8641.18,0.0,0.0068,-0.983,0.0
E07000192,Cannock Chase,19.899,16960.75,0.0328,0.1287,0.363,0.0492
E07000193,East Staffordshire,19.021,15520.06,0.0556,0.1696,0.094,0.0694
E07000194,Lichfield,12.737,10996.25,0.0,0.043,-0.349,0.0
E07000195,Newcastle-under-Lyme,19.001,16217.06,0.025,0.116,0.319,0.0875
E07000196,South Staffordshire,13.527,11890.68,0.0,0.0392,-0.326,0.0
E07000197,Stafford,13.901,11750.56,0.0123,0.0719,-0.229,0.0247
E07000198,Staffordshire Moorlands,14.829,12834.74,0.0,0.0522,-0.295,0.0
E07000199,Tamworth,20.233,16417.46,0.1176,0.1672,0.171,0.0784
E07000200,Babergh,15.388,13985.49,0.0,0.0217,-0.624,0.0
E07000202,Ipswich,25.457,19600.75,0.1294,0.3085,0.314,0.0471
E07000203,Mid Suffolk,14.429,13278.81,0.0175,0.0205,-0.548,0.0175
E07000207,Elmbridge,8.047,6241.47,0.0,0.0114,-1.474,0.0
E07000208,Epsom and Ewell,7.975,6217.99,0.0,0.0154,-1.139,0.0
E07000209,Guildford,9.468,7826.94,0.0,0.0079,-1.033,0.0
E07000210,Mole Valley,9.77,8300.63,0.0,0.0129,-1.015,0.0
E07000211,Reigate and Banstead,10.14,8500.47,0.0,0.0108,-0.752,0.0
E07000212,Runnymede,12.394,10877.1,0.0,0.015,-0.678,0.0
E07000213,Spelthorne,14.861,13185.89,0.0,0.0349,-0.504,0.0
E07000214,Surrey Heath,8.037,6353.43,0.0,0.0028,-1.452,0.0
E07000215,Tandridge,12.532,11232.29,0.0,0.0024,-0.78,0.0
E07000216,Waverley,8.128,6584.4,0.0,0.0,-1.145,0.0
E07000217,Woking,11.508,9658.72,0.0,0.0181,-0.547,0.0
E07000218,North Warwickshire,20.081,17450.49,0.0263,0.0926,0.07,0.0263
E07000219,Nuneaton and Bedworth,23.971,19393.16,0.0833,0.208,0.46,0.0952
E07000220,Rugby,14.059,12170.81,0.0,0.0375,-0.213,0.0149
E07000221,Stratford-on-Avon,11.767,10620.9,0.0,0.0,-0.718,0.0
E07000222,Warwick,10.799,9291.22,0.0114,0.0096,-0.512,0.0
E07000223,Adur,14.99,13273.81,0.0,0.0329,-0.374,0.0
E07000224,Arun,19.416,16592.0,0.0505,0.1151,0.068,0.0202
E07000225,Chichester,15.599,14286.9,0.0,0.0192,-0.38,0.0
E07000226,Crawley,20.786,18486.19,0.0149,0.0751,-0.174,0.0
E07000227,Horsham,9.611,8178.03,0.0,0.0009,-1.001,0.0
E07000228,Mid Sussex,8.658,7111.69,0.0,0.0035,-1.043,0.0
E07000229,Worthing,15.928,13978.12,0.0,0.054,-0.023,0.0
E07000234,Bromsgrove,11.003,9144.95,0.0,0.034,-0.653,0.0167
E07000235,Malvern Hills,16.051,14121.13,0.0222,0.0566,-0.522,0.0222
E07000236,Redditch,20.306,15935.76,0.0702,0.2197,0.044,0.0526
E07000237,Worcester,19.112,14860.8,0.125,0.1751,-0.075,0.0312
E07000238,Wychavon,15.828,14172.04,0.0,0.0394,-0.363,0.0
E07000239,Wyre Forest,22.053,17663.93,0.0746,0.2018,0.077,0.0299
E07000240,St Albans,8.102,6600.09,0.0,0.0015,-1.098,0.0
E07000241,Welwyn Hatfield,13.866,12370.86,0.0,0.0215,-0.42,0.0
E07000242,East Hertfordshire,9.831,8372.79,0.0,0.0038,-1.176,0.0
E07000243,Stevenage,18.919,17284.52,0.0,0.0278,0.094,0.037
E07000244,East Suffolk,20.316,16526.68,0.0759,0.1275,-0.013,0.0552
E07000245,West Suffolk,16.165,14559.15,0.0,0.0462,-0.398,0.0093
E08000001,Bolton,31.41,21894.64,0.2599,0.4384,0.521,0.1638
E08000002,Bury,24.008,18496.3,0.1083,0.2591,0.343,0.1
E08000003,Manchester,38.677,25957.3,0.4068,0.5877,1.087,0.4644
E08000004,Oldham,36.83,24286.25,0.3732,0.5397,0.65,0.2324
E08000005,Rochdale,34.331,23877.78,0.3111,0.4752,0.777,0.2593
E08000006,Salford,32.345,22764.19,0.2547,0.4315,0.848,0.3913
E08000007,Stockport,18.404,13988.18,0.0785,0.1618,0.137,0.1152
E08000008,Tameside,29.836,22321.02,0.1761,0.3857,0.686,0.1901
E08000009,Trafford,14.972,11881.22,0.0432,0.0984,-0.278,0.0432
E08000010,Wigan,25.206,18652.76,0.155,0.2964,0.591,0.225
E08000011,Knowsley,36.157,24167.14,0.4,0.5104,1.215,0.57
E08000012,Liverpool,37.11,24476.3,0.3675,0.5402,1.273,0.606
E08000013,St. Helens,28.953,20369.74,0.2314,0.3673,0.887,0.3554
E08000014,Sefton,25.15,18364.97,0.1885,0.2715,0.634,0.2827
E08000015,Wirral,27.473,18517.76,0.2344,0.3229,0.848,0.3445
E08000016,Barnsley,30.057,22428.44,0.2162,0.3927,0.972,0.3919
E08000017,Doncaster,30.523,21877.3,0.2312,0.3794,0.535,0.1709
E08000018,Rotherham,29.836,20913.02,0.2118,0.3594,0.807,0.3059
E08000019,Sheffield,27.574,19277.22,0.2187,0.3469,0.514,0.2566
E08000021,Newcastle upon Tyne,28.834,19744.45,0.2611,0.3667,0.648,0.3056
E08000022,North Tyneside,20.932,16251.46,0.0827,0.2055,0.398,0.1579
E08000023,South Tyneside,31.061,22741.19,0.2136,0.429,0.972,0.4175
E08000024,Sunderland,32.76,22974.73,0.2757,0.4566,1.062,0.4378
E08000025,Birmingham,38.115,25089.35,0.4279,0.5596,0.72,0.2564
E08000026,Coventry,27.528,20616.29,0.1773,0.3204,0.594,0.2069
E08000027,Dudley,23.174,17942.87,0.1084,0.2578,0.145,0.0246
E08000028,Sandwell,33.772,25389.96,0.1632,0.5095,0.657,0.1263
E08000029,Solihull,17.04,12647.41,0.1343,0.1706,-0.165,0.1343
E08000030,Walsall,31.732,22512.04,0.2485,0.4822,0.546,0.1183
E08000031,Wolverhampton,32.552,23727.39,0.2174,0.486,0.635,0.1553
E08000032,Bradford,36.713,23730.0,0.3686,0.5204,0.614,0.2115
E08000033,Calderdale,27.582,20325.12,0.2016,0.3224,0.34,0.155
E08000034,Kirklees,25.805,19464.14,0.1346,0.3067,0.278,0.1038
E08000035,Leeds,24.115,17398.17,0.1721,0.2849,0.155,0.0861
E08000036,Wakefield,27.247,20586.9,0.1721,0.3263,0.632,0.2
